#iteration 300
#x(nm)   y(nm)
345.000000000     0.000000100
346.666666667     0.000000100
348.333333333     0.000000100
350.000000000     0.000000100
351.666666667     0.000000100
353.333333333     0.000000100
355.000000000     0.000000100
356.666666667     0.000000100
358.333333333     0.000000100
360.000000000     0.000000100
361.666666667     0.000000100
363.333333333     0.000000100
365.000000000     0.000000100
366.666666667     0.000000100
368.333333333     0.000000100
370.000000000     0.000000100
371.666666667     0.000000100
373.333333333     0.000000100
375.000000000     0.000000100
376.666666667     0.000000100
378.333333333     0.000000100
380.000000000     0.000000100
381.666666667     0.000000100
383.333333333     0.000000100
385.000000000     0.000000100
386.666666667     0.000000100
388.333333333     0.000000100
390.000000000     0.000000100
391.666666667     0.000000100
393.333333333     0.000000100
395.000000000     0.000000100
396.666666667     0.000000100
398.333333333     0.000000100
400.000000000     0.000000100
401.666666667     0.000000100
403.333333333     0.000000100
405.000000000     0.000000100
406.666666667     0.000000100
408.333333333     0.000000100
410.000000000     0.000000100
411.666666667     0.000000100
413.333333333     0.000000100
415.000000000     0.000000100
416.666666667     0.000000100
418.333333333     0.000000100
420.000000000     0.000000100
421.666666667     0.000000100
423.333333333     0.000000100
425.000000000     0.000000100
426.666666667     0.000000100
428.333333333     0.000000100
430.000000000     0.000000100
431.666666667     0.000000100
433.333333333     0.000000100
435.000000000     0.000000100
436.666666667     0.000000100
438.333333333     0.000000100
440.000000000     0.000000100
441.666666667     0.000000100
443.333333333     0.000000100
445.000000000     0.000000100
446.666666667     0.000000100
448.333333333     0.000000100
450.000000000     0.000000100
451.666666667     0.000000100
453.333333333     0.000000100
455.000000000     0.000000100
456.666666667     0.000000100
458.333333333     0.000000100
460.000000000     0.000000100
461.666666667     0.000000100
463.333333333     0.000000100
465.000000000     0.000000100
466.666666667     0.000000100
468.333333333     0.000000100
470.000000000     0.000000100
471.666666667     0.000000100
473.333333333     0.000000100
475.000000000     0.000000100
476.666666667     0.000000100
478.333333333     0.000000100
480.000000000     0.000000100
481.666666667     0.000000100
483.333333333     0.000000100
485.000000000     0.000000100
486.666666667     0.000000100
488.333333333     0.000000100
490.000000000     0.000000100
491.666666667     0.000000100
493.333333333     0.000000100
495.000000000     0.000000099
496.666666667     0.000000100
498.333333333     0.000000100
